id,title,artist,album,date_added,duration,image_address,spotify_link_id
1,drop dead,Olivia Rodrigo,drop dead,2026-05-08,3:45,songs/olivia-rodrigo-drop-dead.jpg,6gkbtMtioHgtyGjrMel6ei?si=610488fc93e1414d
2,Messy,ROSÉ,F1 The Album,2026-04-11,2:59,songs/rose-f1-the-album.jpg,6Wobsw9uZ0D0xkfOjxXSq9?si=862fd38bc42148db
3,d£aler,Lola Young,I'm Only F**king Myself,2026-04-12,2:41,songs/lola-young-im-only-f__king-myself.jpg,2MZeoO5my5Z2opiQHm150R?si=a8db90fc0daa4aa2
4,undressed,sombr,I Barely Know Her,2026-04-11,3:02,songs/sombr-i-barely-know-her.jpg,4AajxCEwGEsmHmT4H1TwjY?si=14e42e02841b424a
5,back to friends,sombr,I Barely Know Her,2026-04-12,3:19,songs/sombr-i-barely-know-her.jpg,7qjZnBKE73H4Oxkopwulqe?si=9703efd168524e3e
6,congratulations,Kenzie Cait,congratulations,2026-04-12,3:05,songs/kenzie-cait-congratulations.jpg,4m28acfMvCkxOa1WSu7jYk?si=2fe8a8450c814fc6
7,last night's mascara,Griff,Vertigo (Tour Edition),2026-04-12,2:57,songs/griff-vertigo-tour-edition.jpg,5rYlZ8gsixT7gM3ny5qBYJ?si=5052559a879c4f5e
8,EVIL,Melanie Martinez,PORTALS,2026-04-12,4:06,songs/melanie-martinez-portals.jpg,6UW10CbMTvqciT3X3Ldeox?si=1f09dba1173745c0
9,Homewrecker,sombr,Homewrecker,2026-04-12,3:29,songs/sombr-homewrecker.jpg,7tICCrK3CcyRFKza7yrR0z?si=f026bad8a677484f
10,Hole In My Pocket,Griff,Vertigo,2026-04-12,2:40,songs/griff-vertigo.jpg,5v66VjrhFwSlPqadCrubyb?si=42e56bc579904dfd
11,we never dated,sombr,I Barely Know Her,2026-04-12,3:17,songs/sombr-i-barely-know-her.jpg,0t1fdMrn7JOg9DDsT95bxt?si=4df3f1b622244a23
12,labour,Paris Paloma,Cacophony,2026-04-12,3:57,songs/paris-paloma-cacophony.jpg,0e00DiF2T9znEdmWakYSC3?si=e2a55f20b3854319
13,Hard Times,Paramore,After Laughter,2026-04-12,3:03,songs/paramore-after-laughter.jpg,0w5Bdu51Ka25Pf3hojsKHh?si=d685712711624e02
14,12 to 12,sombr,I Barely Know Her,2026-04-12,4:03,songs/sombr-i-barely-know-her.jpg,6MrLkXsMmHaYt680fhJUAq?si=469d72507af84c03
15,House Tour,Sabrina Carpenter,Man's Best Friend,2026-04-12,2:49,songs/sabrina-carpenter-mans-best-friend.jpg,25jgQBxuUkGDdCG1WGKKN9?si=0f506d59c29b4086
16,Angel,Damiano David,FUNNY little FEARS,2026-05-08,2:42,songs/damiano-david-funny-little-fears.jpg,0k6qolMJrTFEwBeG5HRpFT?si=612690d68b2349d3
17,skinny dipping,Sabrina Carpenter,emails i can't send,2026-04-12,2:58,songs/sabrina-carpenter-emails-i-can't-send.jpg,1ZvbLYAXwvMfaPtN65QF2D?si=be861bad30ee41d8
18,That Could Be Me,Alessi Rose,Voyeur,2026-05-08,3:18,songs/alessi-rose-voyeur.jpg,6f8IO8eT70DlP1JsN2bjcm?si=bb8cc01aec934639
19,Diet Pepsi,Addison Rae,Addison,2026-05-08,2:50,songs/addison-rae-addison.jpg,6MzofobZt2dm0Kf1hTThFz?si=fcb1e88022934a2d
20,SKYLINE,ibe,RÄPPÄRI,2026-05-08,3:30,songs/ibe-räppäri.jpg,1l5OqvmJEHoYWuszBt825e?si=a1379a68c1a04afd
21,Perfect Night,LE SSERAFIM,Perfect Night,2026-05-08,2:39,songs/le-sserafim-perfect-night.jpg,74X2u8JMVooG2QbjRxXwR8?si=c8b1eeed7a57474c
22,Cards On The Table,Nia Archives,Silence Is Loud,2026-04-13,2:57,songs/nia-archives-silence-is-loud.jpg,56NeC5RB6XA4ctZ8FctwG4?si=30ae09c16db74432
23,Zombie Ladie,Damiano David,FUNNY little FEARS,2026-05-08,3:09,songs/damiano-david-funny-little-fears.jpg,1fUZ5sHQqV6AMCwV5KtbgV?si=006097e21e7e47f5
24,Distant,Tate McRae,Distant,2026-05-08,3:19,songs/tate-mcrae-distant.jpg,2fHttjIlcNo8rGCUZVMY1B?si=5d5586b6b03742b3
25,Love Language,Mimi Webb,Confessions,2026-05-08,2:58,songs/mimi-webb-confessions.jpg,5LJlhVdugPn5HbaFL69L6m?si=6ebfa21cc0b74c48
26,Colors,Jason Derulo,Colors,2026-05-08,3:07,songs/jason-derulo-colors.jpg,7wD6iRghe6SnKHkvHqpnC5?si=77dc79d1984141f9
